Zipcode,City,State,Lat,Long,Population
93905,SALINAS,CA,36.67,-121.61,61087
2301,BROCKTON,MA,42.08,-71.02,61025
10023,NEW YORK,NY,40.71,-73.99,60998
75067,LEWISVILLE,TX,33.04,-96.98,60982
53215,MILWAUKEE,WI,43.06,-87.96,60953
94015,DALY CITY,CA,37.67,-122.47,60927
85204,MESA,AZ,33.39,-111.78,60885
7093,WEST NEW YORK,NJ,40.78,-74,60884
11432,JAMAICA,NY,40.68,-73.78,60809
7047,NORTH BERGEN,NJ,40.79,-74.02,60773
11717,BRENTWOOD,NY,40.78,-73.24,60745
95014,CUPERTINO,CA,37.3,-122.09,60717
19134,PHILADELPHIA,PA,39.95,-75.16,60675
46307,CROWN POINT,IN,41.42,-87.35,60619
89031,NORTH LAS VEGAS,NV,36.27,-115.13,60589
21122,PASADENA,MD,39.11,-76.55,60576
23322,CHESAPEAKE,VA,36.67,-76.3,60473
10128,NEW YORK,NY,40.71,-73.99,60453
6010,BRISTOL,CT,41.68,-72.94,60448
95758,ELK GROVE,CA,38.34,-121.42,60435
76244,KELLER,TX,32.93,-97.22,60388
30127,POWDER SPRINGS,GA,33.86,-84.68,60347
91950,NATIONAL CITY,CA,32.67,-117.09,60322
23454,VIRGINIA BEACH,VA,36.73,-76.04,60283
91343,NORTH HILLS,CA,34.23,-118.47,60254
94501,ALAMEDA,CA,37.77,-122.27,60212
44060,MENTOR,OH,41.69,-81.33,60211
21215,BALTIMORE,MD,39.3,-76.61,60161
85301,GLENDALE,AZ,33.53,-112.18,60161
7305,JERSEY CITY,NJ,40.71,-74.06,60104
11691,FAR ROCKAWAY,NY,40.59,-73.81,60035
60073,ROUND LAKE,IL,42.34,-88.11,60002
94806,SAN PABLO,CA,37.98,-122.33,59861
76028,BURLESON,TX,32.53,-97.32,59744
10027,NEW YORK,NY,40.71,-73.99,59707
91702,AZUSA,CA,34.17,-117.87,59705
60016,DES PLAINES,IL,42.03,-87.9,59690
28277,CHARLOTTE,NC,35.19,-80.83,59664
90731,SAN PEDRO,CA,33.73,-118.29,59662
30047,LILBURN,GA,33.88,-84.13,59660
